Epoch,Batch Time,Data Time,Loss,Prec@1,lr
0,1.953,0.027,1.83243,67.8284,0.0005
1,1.726,0.034,1.85424,71.5818,0.0005
2,1.734,0.038,2.12249,70.5094,0.0005
3,1.737,0.042,0.52311,81.2332,0.0005
4,1.737,0.044,0.33967,86.059,0.0005
5,1.737,0.044,0.37589,85.5228,0.0005
6,1.733,0.037,0.50735,83.6461,0.0005
7,1.748,0.053,0.58109,79.0885,0.0005
8,1.743,0.047,0.4046,81.5013,5e-05
9,1.754,0.059,0.35936,87.3995,5e-05
10,1.743,0.049,0.3379,86.059,5e-05
11,1.743,0.047,0.29771,88.2038,5e-05
12,1.754,0.059,0.23923,90.3485,5e-05
13,1.749,0.054,0.30279,87.1314,5e-05
14,1.761,0.065,0.32447,88.2038,5e-06
15,1.753,0.058,0.33702,86.8633,5e-06
16,1.75,0.056,0.27773,89.5442,5e-06
17,1.727,0.033,0.29314,88.4719,5e-06
18,1.734,0.042,0.31861,89.2761,5e-06
19,1.728,0.035,0.29231,87.3995,5.000000000000001e-07
20,1.742,0.048,0.30793,87.1314,5.000000000000001e-07
21,1.733,0.039,0.27498,87.9357,5.000000000000001e-07
22,1.759,0.062,0.29467,87.3995,5.000000000000001e-08
23,1.731,0.037,0.26004,89.8123,5.000000000000001e-08
24,1.737,0.041,0.26955,87.6676,5.000000000000001e-08
25,1.734,0.04,0.27559,87.6676,5.000000000000001e-08
26,1.751,0.057,0.2654,90.8847,5.000000000000001e-08
27,1.755,0.061,0.29088,85.2547,5.000000000000001e-08
28,1.748,0.054,0.31716,85.2547,5.000000000000001e-08
29,1.744,0.05,0.30985,87.3995,5.000000000000001e-08
30,1.754,0.058,0.27352,88.2038,5.000000000000001e-08
31,1.745,0.05,0.32997,84.9866,5.000000000000001e-08
32,1.749,0.055,0.26028,88.74,5.000000000000001e-08
33,1.751,0.056,0.25247,91.4209,5.000000000000001e-08
34,1.765,0.071,0.29846,85.7909,5.000000000000001e-08
35,1.747,0.055,0.27262,87.9357,5.000000000000001e-08
36,1.754,0.06,0.27446,88.2038,5.000000000000001e-08
37,1.749,0.054,0.28562,88.2038,5.000000000000001e-08
38,1.735,0.044,0.34018,89.5442,5.000000000000001e-08
39,1.74,0.045,0.28718,86.5952,5.000000000000001e-08
40,1.739,0.046,0.27961,86.3271,5.000000000000001e-08
41,1.726,0.035,0.30874,86.8633,5.000000000000001e-08
42,1.749,0.055,0.28515,89.008,5.000000000000001e-08
43,1.756,0.061,0.33679,85.7909,5.000000000000001e-08
44,1.749,0.055,0.29052,88.4719,5.000000000000001e-08
45,1.748,0.054,0.34284,85.5228,5.000000000000001e-08
46,1.745,0.05,0.2853,88.74,5.000000000000001e-08
47,1.757,0.059,0.24431,89.8123,5.000000000000001e-08
48,1.759,0.051,0.26112,89.2761,5.000000000000001e-08
49,1.74,0.034,0.27336,89.2761,5.000000000000001e-08
