Epoch,Batch Time,Data Time,Loss,Prec@1,lr
0,2.317,0.086,2.67435,66.4879,0.01
1,1.844,0.107,2.99694,60.5898,0.01
2,1.812,0.082,2.74544,59.2493,0.01
3,1.803,0.075,1.3938,57.9088,0.01
4,1.815,0.089,0.70977,63.2708,0.001
5,1.81,0.085,0.57708,67.8284,0.001
6,1.815,0.089,0.59802,65.4156,0.001
7,1.79,0.065,0.55938,69.1689,0.001
8,1.806,0.081,0.58008,67.5603,0.0001
9,1.801,0.076,0.57023,66.2198,0.0001
10,1.794,0.072,0.5819,67.0241,0.0001
11,1.78,0.058,0.57259,68.0965,0.0001
12,1.809,0.083,0.54867,67.8284,0.0001
13,1.769,0.047,0.55136,71.3137,1e-05
14,1.786,0.065,0.58104,66.2198,1e-05
15,1.823,0.1,0.57309,67.0241,1e-05
16,1.769,0.049,0.57055,66.756,1.0000000000000002e-06
17,1.81,0.084,0.56211,70.5094,1.0000000000000002e-06
18,1.835,0.109,0.57949,64.0751,1.0000000000000002e-06
19,1.819,0.094,0.57863,67.8284,1.0000000000000002e-07
20,1.782,0.059,0.53746,69.437,1.0000000000000002e-07
21,1.789,0.063,0.56799,65.1475,1.0000000000000002e-07
22,1.798,0.075,0.56223,66.4879,5e-08
23,1.809,0.085,0.55423,70.5094,5e-08
24,1.809,0.085,0.56116,70.5094,5e-08
25,1.838,0.112,0.55457,66.756,5e-08
26,1.808,0.083,0.57931,66.2198,5e-08
27,1.778,0.057,0.56078,69.7051,5e-08
28,1.835,0.112,0.56052,68.9008,5e-08
29,1.819,0.096,0.57525,69.9732,5e-08
30,1.822,0.098,0.57784,70.7775,5e-08
31,1.828,0.102,0.56152,68.0965,5e-08
32,1.833,0.108,0.56419,69.437,5e-08
33,1.839,0.114,0.55382,69.9732,5e-08
34,1.784,0.061,0.56021,65.9517,5e-08
35,1.833,0.106,0.56682,70.2413,5e-08
36,1.799,0.074,0.5668,69.9732,5e-08
37,1.807,0.082,0.5913,63.2708,5e-08
38,1.815,0.089,0.58143,65.9517,5e-08
39,1.801,0.075,0.54599,69.9732,5e-08
