Epoch,Batch Time,Data Time,Loss,Prec@1,lr
0,3.775,0.054,25.99928,54.4236,0.01
1,3.557,0.082,2.1504,54.9598,0.01
2,3.549,0.066,2.68913,52.815,0.01
3,3.575,0.089,2.0033,50.4021,0.01
4,3.575,0.083,1.69487,53.3512,0.01
5,3.551,0.064,1.15567,50.6702,0.001
6,3.594,0.096,0.71831,56.5684,0.001
7,3.553,0.057,0.69824,59.5174,0.001
8,3.563,0.066,0.69345,58.7131,0.001
9,3.561,0.062,0.70179,58.1769,0.001
10,3.572,0.072,0.70326,56.3003,0.001
11,3.576,0.078,0.67752,60.8579,0.0001
12,3.584,0.087,0.67728,59.7855,0.0001
13,3.581,0.085,0.66515,61.6622,0.0001
14,3.599,0.105,0.66792,60.0536,1e-05
15,3.592,0.098,0.67384,59.7855,1e-05
16,3.579,0.082,0.66007,62.4665,1e-05
17,3.565,0.069,0.67188,59.7855,1.0000000000000002e-06
18,3.577,0.077,0.66162,63.5389,1.0000000000000002e-06
19,3.575,0.077,0.67962,57.1046,1.0000000000000002e-06
20,3.582,0.085,0.66423,59.2493,1.0000000000000002e-07
21,3.567,0.07,0.66711,60.3217,1.0000000000000002e-07
22,3.58,0.081,0.66822,61.126,1.0000000000000002e-07
23,3.586,0.09,0.66106,61.3941,5e-08
24,3.576,0.074,0.66174,61.9303,5e-08
25,3.573,0.078,0.66423,61.6622,5e-08
26,3.566,0.063,0.67137,59.2493,5e-08
27,3.599,0.102,0.67314,58.7131,5e-08
28,3.583,0.087,0.66682,58.445,5e-08
29,3.574,0.079,0.66672,59.5174,5e-08
30,3.589,0.088,0.66572,61.9303,5e-08
31,3.567,0.066,0.67436,58.9812,5e-08
32,3.578,0.078,0.66501,60.8579,5e-08
33,3.58,0.078,0.66734,61.9303,5e-08
34,3.575,0.079,0.66781,61.126,5e-08
35,3.571,0.074,0.6719,59.5174,5e-08
36,3.574,0.075,0.6656,60.8579,5e-08
37,3.598,0.103,0.66922,59.7855,5e-08
38,3.583,0.085,0.6733,59.5174,5e-08
39,3.586,0.082,0.66232,60.3217,5e-08
40,3.569,0.074,0.66774,61.6622,5e-08
41,3.574,0.071,0.67389,58.445,5e-08
42,3.57,0.068,0.67341,58.445,5e-08
43,3.589,0.09,0.66728,59.7855,5e-08
44,3.561,0.057,0.66464,60.5898,5e-08
45,3.578,0.075,0.66595,60.0536,5e-08
46,3.566,0.062,0.66928,58.7131,5e-08
47,3.569,0.068,0.66554,59.5174,5e-08
48,3.565,0.064,0.66904,60.3217,5e-08
49,3.588,0.09,0.66606,61.9303,5e-08
