Epoch,Batch Time,Data Time,Loss,Prec@1,lr
88,2.782,0.072,0.03725,98.3193,1.0000000000000004e-08
89,2.771,0.059,0.04756,98.0392,1.0000000000000004e-08
90,2.757,0.046,0.02374,99.1597,1.0000000000000004e-08
91,2.783,0.072,0.02361,98.8796,1.0000000000000004e-08
92,2.761,0.052,0.01775,99.4398,1.0000000000000004e-08
93,2.785,0.074,0.01822,100.0,1.0000000000000004e-08
94,2.766,0.055,0.013,100.0,1.0000000000000004e-08
95,2.763,0.052,0.02861,99.1597,1.0000000000000004e-08
96,2.777,0.065,0.01809,99.7199,1.0000000000000004e-08
97,2.767,0.056,0.01416,99.7199,1.0000000000000004e-08
98,2.781,0.069,0.01306,99.7199,1.0000000000000004e-08
99,2.779,0.07,0.03114,99.1597,1.0000000000000004e-08
