Epoch,Batch Time,Data Time,Loss,Prec@1,lr
89,2.77,0.739,0.47501,77.3109,1.0000000000000004e-08
90,2.835,0.799,0.42505,78.9916,1.0000000000000004e-08
91,2.831,0.796,0.48804,74.5098,1.0000000000000004e-08
92,2.765,0.73,0.4851,74.7899,1.0000000000000004e-08
93,2.777,0.75,0.46803,80.3922,1.0000000000000004e-08
94,2.773,0.742,0.47778,75.6303,1.0000000000000004e-08
95,2.848,0.819,0.47422,76.7507,1.0000000000000004e-08
96,2.785,0.754,0.43603,80.6723,1.0000000000000004e-08
97,2.849,0.82,0.4539,78.9916,1.0000000000000004e-08
98,2.878,0.843,0.47486,77.3109,1.0000000000000004e-08
99,2.771,0.742,0.44397,78.1513,1.0000000000000004e-08
